permalink+accelerator,permalink,cohort_year,accelerator,founders
upshot@TheAlchemistAccelerator,upshot,2013,TheAlchemistAccelerator,"Joseph Turian, Thomas Kim"
eyepiece@TheAlchemistAccelerator,eyepiece,2016,TheAlchemistAccelerator,"Michael Lueng, Will Schumaker"
urx@y combinator,urx,2013,y combinator,"Andrew Look, James Turner, John Milinovich, Nathanael Smith"
uscoop@500startups,uscoop,2012,500startups,
userfox@y combinator,userfox,2011,y combinator,"Cesar Alaniz, Peter Clark"
usergems@y combinator,usergems,2014,y combinator,"Christian Kletzl, Stephan Kletzl"
utilityscore@y combinator,utilityscore,2016,y combinator,Brian Gitt
uxcam@500startups,uxcam,2014,500startups,"Kishan Gupta, Richard Groves"
vacayo@500startups,vacayo,2017,500startups,"Isabel Berney, Truth Oladapo"
vadr@TheAlchemistAccelerator,vadr,2017,TheAlchemistAccelerator,"Abhishek Bansal, Shubham Agarwal"
valor-water-analytics@y combinator,valor-water-analytics,2015,y combinator,Christine Boyle
value-voting@y combinator,value-voting,2017,y combinator,"Can Sar, James Vaughan"
vangoart@500startups,vangoart,2015,500startups,"Brandon Flayler, Ethan Appleby, Patrick Coughlin, Win Raguini"
vantage-sports@500startups,vantage-sports,2014,500startups,"Brett McDonald, Chase Exon"
vastrm@y combinator,vastrm,2012,y combinator,Jonathan Tang
vathys@y combinator,vathys,2018,y combinator,Tapa Ghosh
vatler@y combinator,vatler,2014,y combinator,"Aboud Jardaneh, Hamza Chahdi, Thomas Cottin"
vaycayhero@y combinator,vaycayhero,2013,y combinator,"Amitav Chakravartty, Anirban Bardalaye"
veedme@UpwestLabs,veedme,2013,UpwestLabs,"Nuriel Zuaretz, Nuriel Zuaretz, Oren Hod, Yoav Hornung"
goveem@BoostVC,goveem,2014,BoostVC,"Aldo Carrascoso, Marwan Forzley"
verbling@y combinator,verbling,2011,y combinator,"Gustav Rydstedt, Jake Jolis, Mikael Bernstein"
verecho-inc@TheAlchemistAccelerator,verecho-inc,2016,TheAlchemistAccelerator,"Dale Chen, Pooneet Goel, Scott Wang"
verge-genomics@y combinator,verge-genomics,2015,y combinator,"Alice Zhang, Jason Chen"
vergesense@y combinator,vergesense,2017,y combinator,Dan Ryan
vernox-labs@y combinator,vernox-labs,2015,y combinator,"Michael Savaiano, Vinayak Nagpal"
veryfi@y combinator,veryfi,2017,y combinator,"Dmitry Birulia, Ernest Semerda"
vessel@500startups,vessel,2014,500startups,"Devendra Laulkar, Koustubha Deshpande"
vetcove-2@y combinator,vetcove-2,2016,y combinator,"Alexander Kates, Mitchell Kates"
vetpronto@y combinator,vetpronto,2015,y combinator,"Joe Waltman, Katherine van Ekert, Soren Berg"
via-global-health@500startups,via-global-health,2017,500startups,"Brendan Lilly, Noah Perin"
viacycle@y combinator,viacycle,2012,y combinator,Yuriy Romaniw
vida-co@y combinator,vida-co,2017,y combinator,Umaimah Mendhro
vidcode@y combinator,vidcode,2016,y combinator,"Alexandra Diracles, Leandra Tejedor, Melissa Halfon"
videogram@500startups,videogram,2012,500startups,"Rahul Golecha, Sandeep Casi"
videonot-es@ImagineK12,videonot-es,2013,ImagineK12,Clement Delangue
videopixie@y combinator,videopixie,2011,y combinator,"Thomas Escourrou, Tom Saffell"
vidiq@i/oventures,vidiq,2012,i/oventures,"James Cross, Robert Sandie, Todd Troxell"
vidpresso@y combinator,vidpresso,2014,y combinator,Randall Bennett
villa-toolbox@NFX,villa-toolbox,2016,NFX,
village-defense@500startups,village-defense,2015,500startups,"Nathan Black, Sharath Mekala"
vinebox@y combinator,vinebox,2016,y combinator,Matthew Dukes
bountiful@y combinator,bountiful,2017,y combinator,Megan Nunes
viralgains@500startups,viralgains,2013,500startups,"Dan Levin, Doron Gan, Jay Singh, Kate Willett"
virect@500startups,virect,2015,500startups,"Chee-Hyung Yoon, Naejin Hyeon"
virool@y combinator,virool,2012,y combinator,"Alexander Debelov, Vladimir Gurgov"
virtualmin@y combinator,virtualmin,2007,y combinator,
visabot@500startups,visabot,2017,500startups,"Andrey Zinoviev, Artem Goldman"
visage@TheAlchemistAccelerator,visage,2016,TheAlchemistAccelerator,"Barry Potier, Emmanuel Marboeuf, Joss Leufrancois"
visor-small-retail-shopper-intelligence@y combinator,visor-small-retail-shopper-intelligence,2018,y combinator,"Anhang Zhu, Ivan Zhou"
visual-ly@500startups,visual-ly,2011,500startups,"Adam Breckler, Lee Sherman, Stew Langille, Tal Siach"
vittana@fbFund,vittana,2009,fbFund,"Brett Witt, Kushal Chakrabarti"
vive-3@y combinator,vive-3,2015,y combinator,Alanna Gregory
summer@NFX,summer,2016,NFX,"Dhaval Chadha, Javier Cardenete"
vizalytics-technology@500startups,vizalytics-technology,2014,500startups,"Aileen Gemma Smith, Chris Smith"
vize-software@y combinator,vize-software,2017,y combinator,"Khalil Ben Aissa, Naim Kosayyer, Noureddine Lakehal"
vizera-labs@y combinator,vizera-labs,2014,y combinator,"Ali ?âevik, Mert Kucuk"
voicegem@y combinator,voicegem,2012,y combinator,"Alexander Blessing, Arda Kara"
voiq@y combinator,voiq,2015,y combinator,Ricardo Garcia-Amaya
volta-2@500startups,volta-2,2011,500startups,Patrick Stockwell
voodoo-manufacturing@y combinator,voodoo-manufacturing,2017,y combinator,"Jonathan Schwartz, Max Friedfeld, Oliver Ortlieb, Patrick Deem"
vorga@TheAlchemistAccelerator,vorga,2017,TheAlchemistAccelerator,
vote-org@y combinator,vote-org,2016,y combinator,Debra Cleaver
voxeet@500startups,voxeet,2016,500startups,"Benoit Senard, Larry Fornallaz, Stephane Giraudie"
voyajoy@500startups,voyajoy,2016,500startups,"Diana Thai, Ivan Thai, Wayne Thai"
vr-motion@500startups,vr-motion,2017,500startups,"Dominic Dobson, Keith Maher"
vrchive@BoostVC,vrchive,2015,BoostVC,"Evan Young, Jesse Thompson, Ka'i Kau"
vvall@500startups,vvall,2011,500startups,
wakemate@y combinator,wakemate,2009,y combinator,"Craig Lewiston, Greg Nemeth, Tom Davis"
wakie-budist@y combinator,wakie-budist,2016,y combinator,"Hrachik Adjamian, Tatoul Ajamyan"
wallarm@y combinator,wallarm,2016,y combinator,"Ivan Novikov, Stepan Ilyin"
walletkit@500startups,walletkit,2012,500startups,"Kevin William david, Ramakanth Dorai"
yongopal@500startups,yongopal,2011,500startups,"Darien Brown, Daron Hall, Jiho Kang"
wanderable@500startups,wanderable,2012,500startups,"Jenny Chen, Marcela Miyazawa"
watsi@y combinator,watsi,2013,y combinator,"Chase Adam, Grace Garey, Jesse Cooke"
wattvision@y combinator,wattvision,2009,y combinator,Savraj Singh
waygum@TheAlchemistAccelerator,waygum,2014,TheAlchemistAccelerator,Sundar Krish
wayup@y combinator,wayup,2015,y combinator,"JJ Fliegelman, Liz Wessel"
weardrobe@fbFund,weardrobe,2009,fbFund,"Richard Tong, Suzanne Xie"
weave@y combinator,weave,2014,y combinator,"Brandon Rodman, Clint Berry, Jared Rodman"
weave-2@y combinator,weave-2,2014,y combinator,"Brian Ma, Elpizo Choi"
webflow@y combinator,webflow,2013,y combinator,"Bryant Chou, Sergie Magdalin, Vlad Magdalin"
webtab@fbFund,webtab,2008,fbFund,
weddinglovely@500startups,weddinglovely,2011,500startups,Tracy Osborn
wedidit@500startups,wedidit,2014,500startups,"Ben Lamson, Bryan Liff, Su Sanni"
weebly@y combinator,weebly,2007,y combinator,"Chris Fanini, Dan Veltri, David Rusenko"
wefunder@y combinator,wefunder,2013,y combinator,"Greg Belote, Mike Norman, Nick Tommarello"
weilos@y combinator,weilos,2013,y combinator,"Liane Nakamura, Ray Wu"
welink@TheAlchemistAccelerator,welink,2015,TheAlchemistAccelerator,"Cyrille de Nervaux, Karthik Manimaran, Nathan Chandra"
wepay@y combinator,wepay,2009,y combinator,"Bill Clerico, Richard Aberman"
weplann@500startups,weplann,2013,500startups,"Jarrett Vamvakidis, Oliver Camargo"
wevorce@y combinator,wevorce,2013,y combinator,"Jeff Reynolds, Michelle Crosby"
whale-path@500startups,whale-path,2014,500startups,"Artem Gassan, Colin Gu"
tracktopia@NFX,tracktopia,2015,NFX,"Andrew Johnson, August Ryan Brenner, Michael B. Gonzales"
wherefor@500startups,wherefor,2016,500startups,"Darren Enenstein, Naya Resnick, Ryan Wenger"
whill@500startups,whill,2013,500startups,"Junpei Naito, Muneaki Fukuoka, Naoto Sakakibara, Satoshi Sugie"
whiplash-2@500startups,whiplash-2,2015,500startups,James Marks
whirl@y combinator,whirl,2014,y combinator,"Jay Cady, Kenneth Sobel, Steve Sobel"
whitenoise-networks@y combinator,whitenoise-networks,2007,y combinator,
whoapi@500startups,whoapi,2012,500startups,"Edi Budimilic, Goran Duskic"
wideo@500startups,wideo,2012,500startups,"Agu De Marco, AgustÁ©©n Esperon, Cacho Sabre"
willing@y combinator,willing,2015,y combinator,"Eliam Medina, Robert Dyson"
willow@BoostVC,willow,2014,BoostVC,"John Errico, Scott Coates"
clubw-com@500startups,clubw-com,2012,500startups,"Brian Smith, Brian Smith, Geoff McFarlane, Mark T. Lynn, Xander Oxman"
wink-health@y combinator,wink-health,2015,y combinator,Darwin Lo
win-win@500startups,win-win,2017,500startups,Mike T. Brown
wise-io@TheAlchemistAccelerator,wise-io,2013,TheAlchemistAccelerator,"Damian Eads, Dan Starr, Henrik Brink, Joseph Richards, Joshua Bloom"
wishplz@500startups,wishplz,2013,500startups,"Dan Cheung, Eric Goldberg, George Revutsky"
wit-ai@y combinator,wit-ai,2014,y combinator,"Alex Lebrun, Laurent Landowski, Willy Blandin"
women-who-code@y combinator,women-who-code,2016,y combinator,"Alaina Percival, Michele Titolo, Zassmin Montes de Oca"
womendotcom@y combinator,womendotcom,2014,y combinator,"Neal Kemp, Susan Johnson"
workamerica@500startups,workamerica,2016,500startups,"Collin Gutman, Laura Zaim, Michael Colonnese"
workflowy@y combinator,workflowy,2010,y combinator,"Jesse Patel, Mike Turitzin"
workgenius@500startups,workgenius,2016,500startups,"Benjamin Bear, Bjorn Wanbo"
worklete@500startups,worklete,2016,500startups,"Benjamin Kanner, John Post"
worklife@y combinator,worklife,2015,y combinator,"Dave Bryand, Dave Kashen, Val Agostino"
workramp@y combinator,workramp,2016,y combinator,"Arsh Mand, Ted Blosser"
workstir@fbFund,workstir,2009,fbFund,Duncan Winter
worldcover@y combinator,worldcover,2016,y combinator,"Christopher Sheehan, Shiliang Tang"
worldly-developments@fbFund,worldly-developments,2009,fbFund,"Jay Marcyes, Mark Hendrickson"
worthix@500startups,worthix,2016,500startups,"Guilherme Cerqueira, Gustavo Cerqueira"
wright-electric@y combinator,wright-electric,2017,y combinator,"Doug Griswold, Jeff Engler"
writewith@y combinator,writewith,2007,y combinator,
wundrbar@y combinator,wundrbar,2008,y combinator,"Andrew Dudley, Nick Grandy"
xberts@y combinator,xberts,2016,y combinator,"Simon Huang, Steven Huang"
xendo@TheAlchemistAccelerator,xendo,2014,TheAlchemistAccelerator,"Dominic Lee, Julian Gay"
xix-ai@y combinator,xix-ai,2017,y combinator,Emil Mikhailov
xobni@y combinator,xobni,2006,y combinator,"Adam Smith, Matt Brezina"
xockets@TheAlchemistAccelerator,xockets,2012,TheAlchemistAccelerator,"Parin Dalal, Stephen Belair"
x-zell@y combinator,x-zell,2016,y combinator,Sebastian Chakrit Punyaratabandhu Bhakdi
yardbook@y combinator,yardbook,2016,y combinator,"BRIAN GAMIDO, Mark Ke"
yaypay-inc@500startups,yaypay-inc,2017,500startups,"Anthony Venus, Eugene Vyborov, Saul Frank"
yellowdig@500startups,yellowdig,2015,500startups,Shaunak Roy
yesgraph@y combinator,yesgraph,2016,y combinator,Ivan Kirigin
yhat@y combinator,yhat,2015,y combinator,"Austin Ogilvie, Greg Lamp"
yodas@NFX,yodas,2015,NFX,"Nir Dremer, Ran Tavory"
yoderm@500startups,yoderm,2016,500startups,"Ben Holber, Chris Minnich, Ryan Hambley"
yogome@500startups,yogome,2012,500startups,"Alberto Colin, Manolo Diaz"
yoshi@y combinator,yoshi,2016,y combinator,"Bryan Frist, Dan Hunter, Nick Alexander"
youfood@NFX,youfood,2015,NFX,"Alex Bernier, Peter Simones"
yougotlistings@y combinator,yougotlistings,2011,y combinator,Gordon Chen
yourmechanic@y combinator,yourmechanic,2012,y combinator,"Anthony Rodio, Art Agrawal, Dongyi Liao"
youstake@500startups,youstake,2016,500startups,"Frank DeGeorge, Nicholas DeGeorge, Scott Hansbury"
youteam@y combinator,youteam,2018,y combinator,"Anton Mishchenko, Yurij Riphyak"
yumbin@y combinator,yumbin,2014,y combinator,Franklin Winokur
yumdots@y combinator,yumdots,2008,y combinator,"Mark Rosetta, Raza Mobin"
zainar@TheAlchemistAccelerator,zainar,2018,TheAlchemistAccelerator,
zapchain@BoostVC,zapchain,2014,BoostVC,Matt Schlicht
zapgocharger@BoostVC,zapgocharger,2015,BoostVC,
zapier@y combinator,zapier,2012,y combinator,"Bryan Helmig, Mike Knoop, Wade Foster"
zbiotics@y combinator,zbiotics,2018,y combinator,"Stephen Lamb, Zachary Abbott"
zboard@500startups,zboard,2013,500startups,"Ben Forman, Geoff Larson"
zecter@y combinator,zecter,2007,y combinator,"David Zhao, Kevin West, Vijay Mani"
zen99@y combinator,zen99,2014,y combinator,"Tristan Zier, Yan Lhert"
zenamins@y combinator,zenamins,2014,y combinator,Arad Rostampour
zenbox@y combinator,zenbox,2011,y combinator,"Brock Pierce, Cailen Sullivan, Scott Walker, Sean Grove, Tom Wenz"
zencoder@y combinator,zencoder,2010,y combinator,"Brandon Arbini, Jon Dahl, Steve Heffernan"
zendar@y combinator,zendar,2017,y combinator,"Jimmy Wang, Vinayak Nagpal"
zendyhealth@500startups,zendyhealth,2015,500startups,"Kimi Verma, Roumen Antonov, Vish Banthia"
zenedy@y combinator,zenedy,2010,y combinator,Jeff Morin
zenefits@y combinator,zenefits,2013,y combinator,"Laks Srini, Parker Conrad"
zenflow@y combinator,zenflow,2015,y combinator,"Nick Damiano, Shreya Mehta"
zengaming@NFX,zengaming,2015,NFX,"Jimi Gecelter, Or Praiss, Shai Gecelter"
zentail@y combinator,zentail,2012,y combinator,
zenter@y combinator,zenter,2007,y combinator,"Robby Walker, Wayne Crosby"
zenysis@y combinator,zenysis,2016,y combinator,"Ian Webster, Jonathan Stambolis"
zeplin@y combinator,zeplin,2015,y combinator,"Berk ?âebi, Ismail Ceylan, Merih Akar, Pelin Kenez"
zerocater@y combinator,zerocater,2011,y combinator,Arram Sabeti
zestful@y combinator,zestful,2017,y combinator,"Carson Potter, Jeff Peterson, Mat Vogels"
simply-zesty@y combinator,simply-zesty,2014,y combinator,"Chris Hollindale, David Langer"
zeus-living@NFX,zeus-living,2015,NFX,"Joe Wong, Kulveer Taggar, Srini Panguluri"
zidisha@y combinator,zidisha,2014,y combinator,Julia Kurnia
zigfu@y combinator,zigfu,2011,y combinator,Amir Hirsch
zillabyte@y combinator,zillabyte,2012,y combinator,"Jake Quist, Roger Huffstetler"
zinc-technologies@y combinator,zinc-technologies,2014,y combinator,Max Kolysh
zipongo@TheAlchemistAccelerator,zipongo,2013,TheAlchemistAccelerator,Jason Langheier
zoomer@y combinator,zoomer,2014,y combinator,Robert Shedd
zootrock@500startups,zootrock,2014,500startups,"Audrey Melnik, Laina Reginelli"
zowpow@y combinator,zowpow,2014,y combinator,"Brian Krejcarek, Jennifer Lu"
ixchel-scientific@y combinator,ixchel-scientific,2015,y combinator,"Julia Kirshner, Mukti Parikh"
zyudly-labs@500startups,zyudly-labs,2017,500startups,"Prasath Venkatramanan, Suhas Ghante, Vivek Ganesan"
